ref	value
C1	10uF
C2	.01uF
C3	100nF
C4	100nF
C5	100nF
C6	220uF
C7	100nF
C8	30pF
C9	30pF
C10	100nF
C11	100nF
C12	560pF
C13	560pF
C14	100nF
C15	100nF
C16	10uF
C17	100nF
C18	100nF
C19	10uF
C20	30pF
C21	30pF
C22	30pF
C23	30pF
D1	DIODE
D2	DIODE
D3	DIODE
D4	25V ZENER
D5	40V 3A SCHOTTKY
D6	DIODE
D7	DIODE
F1	3.6A
F2	1A
IC1	ATMEGA328P-A
IC2	SC16IS740
IC3	LM339
IC4	LM317-8
IC5	SCANTOOL
IC6	MCP2551
IC7	TPS5430
IC8	TPS77633
J1	AVR-ISP-6
J2	Spare Connection Points
J3	RJ45 GPS CONNECTOR
J4	USER INTERFACE
J5	Power Switch Connector
J6	DB9
J7	LED DISPLAY
J8	POWER_JACKPTH
L1	10uH
L2	100uH
LED1	LED
LED2	LED
LED3	LED
LED4	LED
LED5	LED
Q1	NPN
Q2	MOSFET_N
Q3	PNP
Q4	NPN
Q5	NPN
Q6	NPN
Q7	NPN
Q8	NPN
R1	3.24k
R2	10k
R3	10K
R4	10K
R5	10K
R6	1K
R7	1k
R8	10K
R9	10K
R10	10K
R11	10K
R12	10K
R13	10K
R14	2K
R15	8K
R16	10K
R17	10K
R18	10K
R19	240
R20	866
R21	374
R22	10K
R23	2.2K
R24	10K
R25	10K
R26	1k
R27	1k
R28	510
R29	510
R30	10k
R31	1k
R32	4.7k
R33	100
R34	100
R35	10k
R36	62k
R37	10k
R38	10
R39	330
R40	330
R41	330
R42	330
R43	100k
R44	1k
R45	1.5k
R46	4.7k
R47	10k
R48	10k
R49	1k
R50	1k
X1	CRYSTAL
X2	CRYSTAL
X3	1.8432 MHz CRYSTAL
